Dust-Radius\Longitude,-174,-168,-162,-156,-150,-144,-138,-132,-126,-120,-114,-108,-102,-96,-90,-84,-78,-72,-66,-60,-54,-48,-42,-36,-30,-24,-18,-12,-6,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180
0.55,0.244795443,0.247883659,0.265374005,0.261488953,0.289725159,0.293715521,0.247134358,0.261647359,0.239676181,0.199564853,0.219037902,0.173370284,0.158145158,0.170933886,0.198797265,0.194410255,0.177320063,0.173086047,0.176734125,0.241232345,0.240452759,0.262042567,0.351367718,0.39142355,0.407714309,0.340120194,0.314750518,0.233997366,0.22188806,0.193330366,0.189334401,0.174352415,0.176605334,0.20737241,0.235607802,0.257304815,0.249088263,0.253607047,0.236047219,0.244960021,0.29156313,0.29726964,0.271235586,0.270567344,0.273577691,0.241931722,0.24611327,0.232559111,0.228296396,0.265289583,0.196358341,0.203592309,0.239120741,0.260033551,0.234728737,0.203570131,0.207294458,0.166056063,0.177706792,0.211257545
0.6,0.368603895,0.416166138,0.402875005,0.327935234,0.375228229,0.396982478,0.371129171,0.41515686,0.34773588,0.308434327,0.355879835,0.289164115,0.314659161,0.269700408,0.309710314,0.285230279,0.247675424,0.26186361,0.244991352,0.331731263,0.337488265,0.349557643,0.438579671,0.548684071,0.56634396,0.487993042,0.401407541,0.35089293,0.299872311,0.305702215,0.302645704,0.300632014,0.339693241,0.360449665,0.380901968,0.451057861,0.453279816,0.422732644,0.399985106,0.447588169,0.531050694,0.528510876,0.508366804,0.483154383,0.450184221,0.399002739,0.373392628,0.387960098,0.385278459,0.463201244,0.328577028,0.345355375,0.415953847,0.463147016,0.465279024,0.569870772,0.522740435,0.462709436,0.372633514,0.375702228
0.65,0.425228221,0.533649838,0.567634705,0.513115333,0.609708393,0.522853076,0.500681337,0.562927149,0.441914188,0.411381969,0.536023132,0.414520686,0.421427022,0.347560711,0.428710659,0.340564911,0.301763517,0.344474317,0.349055536,0.407984745,0.545623011,0.441329107,0.672204186,0.821600565,0.7231532,0.695927961,0.602470583,0.537462335,0.47336412,0.445567862,0.472486379,0.497260958,0.531461404,0.579118467,0.646865394,0.725947282,0.722696158,0.685945296,0.635580971,0.760395914,0.85755717,1.058665513,1.050739624,0.883885826,0.879338164,0.761868369,0.617374251,0.682239377,0.596403478,0.694199793,0.536620865,0.545344464,0.533247745,0.543841336,0.555480876,0.631758786,0.539053255,0.467436696,0.395175075,0.437109776
0.7,0.727357934,0.824528798,0.90243108,0.757892732,0.86334147,0.665912564,0.604764469,0.728691268,0.549706242,0.525754582,0.720008727,0.515782701,0.594399615,0.513481901,0.567717016,0.43599346,0.412027653,0.458267781,0.457514884,0.508491989,0.692118233,0.613021636,0.861960463,1.077572663,1.02250915,0.933055427,0.710814732,0.639369155,0.61849379,0.547760879,0.570440349,0.678516334,0.740122142,0.742450606,0.825140946,0.873228581,0.904917919,0.871998891,0.818316828,1.045881526,1.145670133,1.343087449,1.316916409,1.234097813,1.068776443,0.923234444,0.783729931,0.806491026,0.790383785,0.904817245,0.635683906,0.83528803,0.77339693,0.810397896,0.798925575,0.840772706,0.713670432,0.699286683,0.70080953,0.781167779
0.75,1.107719495,1.129001603,1.237769427,1.045328044,1.018560282,0.887946722,0.794906531,1.000409493,0.786095781,0.705322604,0.933567423,0.706517801,0.675045561,0.706662522,0.753562139,0.551359119,0.552304496,0.601441895,0.668003556,0.608075488,0.969076906,0.728384452,1.051835999,1.352789146,1.215550766,1.345799896,1.134548413,0.851384683,0.882748277,0.811105773,0.822734914,0.904112637,0.968846433,1.070504326,1.094737659,1.419006105,1.329130599,1.332833436,1.362624451,1.556457435,1.697524214,1.873272642,1.679242659,1.501873999,1.345453893,1.340179904,1.030199661,0.887679827,0.870628682,1.10808617,0.783563622,0.979185696,0.903348431,0.916783867,0.92423789,0.896754327,0.713872715,0.817281847,0.877184933,1.061830966
0.8,1.184326469,1.246445083,1.383428602,1.242871671,1.066886282,1.028620816,0.908572768,1.120886391,0.85809283,0.809124754,1.060473075,0.887289761,0.700099718,0.820430372,0.909815823,0.653124392,0.671845411,0.677908147,0.765809758,0.72804285,1.186112996,0.956309819,1.343741762,1.785548652,1.675080826,1.43131645,1.181268552,0.898165275,1.001172022,0.973636732,0.931940925,1.012996227,1.125578705,1.26588078,1.263209017,1.732601029,1.724252223,1.430893676,1.68880725,1.681821067,2.018581017,2.134290161,1.940080278,1.664669969,1.541743773,1.580728679,1.327611185,1.090321375,0.958297401,1.382649203,1.07474826,1.336474819,1.210463968,1.338218861,1.21469321,1.000780811,0.855572325,0.958357075,0.960774562,1.141610086
0.85,1.504737384,1.40426433,1.55026325,1.35092537,1.160104952,1.039960665,1.055103363,1.208502924,0.93599516,0.82533444,1.233178992,0.951269304,0.827505081,1.015992602,1.122937959,0.766796134,0.833633679,0.827065331,1.000190869,0.877672712,1.358993775,1.099458672,1.538353527,2.185306257,1.915832085,1.671692403,1.335076834,0.993999767,1.099763834,1.120214557,1.093933619,1.189669492,1.278992686,1.461992247,1.422565192,2.079727478,1.769961387,1.516072535,1.955845132,1.918781237,2.31177093,2.313864387,2.145378829,1.897229239,1.729386402,1.775972273,1.556103791,1.264312171,1.127280497,1.507504054,1.288857376,1.367239872,1.356095527,1.602240406,1.464398341,1.081063149,1.039001677,1.166321372,1.317457402,1.383678156
0.9,1.710286941,1.422466925,1.671617093,1.547038487,1.213567333,1.263999642,1.141108212,1.301992587,1.168194028,0.941477187,1.219373386,0.981214286,0.959154616,1.146040309,1.376498283,0.85962661,0.938796909,0.881438349,1.074460872,0.954396983,1.319471569,1.232647238,1.833001978,2.168870546,2.016169936,2.009924368,1.542774336,1.115116394,1.141200211,1.211082526,1.244739479,1.349969733,1.387986559,1.625446437,1.570777483,2.34144393,1.839368477,1.433724799,2.229777762,2.027143058,2.502248739,2.34070595,2.298088654,1.97978779,1.867624382,1.831982191,1.589154633,1.241630521,1.207239755,1.778386945,1.529661256,1.3433469,1.528811552,1.792556781,1.633770347,1.297931372,1.269544778,1.280075651,1.567719221,1.414831173
0.95,2.027337056,1.45848651,1.76570846,1.77677654,1.285349241,1.535456887,1.155106322,1.318602245,1.3073729,1.10679342,1.270306972,1.097209032,1.022369652,1.36464768,1.628686139,0.984884675,1.029949366,0.884234579,1.133266058,0.967139066,1.315028406,1.238034325,1.988181517,2.140225951,2.108258627,2.070720403,1.632769857,1.165823049,1.216684478,1.422507084,1.512601507,1.538728135,1.555044272,1.840934565,1.668774087,2.490294789,1.917841639,1.468930154,2.540480881,1.888752554,2.630960123,2.426914346,2.553542482,2.205723986,2.016918084,1.824546285,1.573864295,1.25990947,1.301116096,1.724674144,1.478233742,1.295995737,1.574245646,1.860349956,1.65297763,1.477140208,1.373788879,1.432594261,1.716178946,1.537082373
1,2.190742082,1.532289725,1.891768739,1.793126782,1.30506211,1.555508636,1.246652207,1.350107807,1.317324474,1.158971898,1.337745557,1.135897876,1.057146384,1.387328694,1.646182927,0.998347617,1.074638818,0.908947463,1.166918105,0.95512109,1.19438185,1.450182369,2.15729424,2.170510488,2.082382008,2.2510628,1.74048913,1.057185431,1.215362739,1.401849249,1.603148204,1.603994443,1.551389939,1.872965125,1.691422973,2.526960595,2.057354393,1.478115845,2.567663156,1.843646646,2.638334141,2.444935597,2.551268827,2.354514066,2.035159381,1.753129944,1.630772699,1.434225325,1.273935168,1.569731396,1.540703194,1.367611948,1.355813606,1.958246673,1.709738899,1.485707515,1.410085011,1.572062046,1.863982618,1.602760696
